USER_UUID,'83d91a0a-6a92-47f5-9eed-ae26a594a647','0367c168-ac79-4dc7-84c4-d44b653ba68e','259ebe96-71cd-4e3f-a14c-0e174ffcbcec','d6b6769d-b02e-4ca7-9702-1e390006d293','9083f6c2-b037-488e-9096-194b209b5805','c88d205a-7ddc-4b1b-8ea4-87e717b25230','31c97060-5518-4180-b74b-100f54e24ab1','8ca3be93-7f70-45e5-a735-e4a2bda881c7','3e00cf89-d570-439a-919d-9fce068c9fc5','9280a25f-35a1-44e1-9272-c6becb96c0ba','b76b6589-4e8a-4c5c-961a-2d50a28aa034','1fa2b1a3-1a6e-470f-ad67-80e9ca5a8ce2','75eb0a77-6e3b-492c-81bd-791cf41aa09d','0fb977dd-8faf-4be7-9add-d043b747b945','0bc2b687-560f-4fbf-ab1e-35b76e545c43','9319c616-2822-4971-875a-837dd5ae6653','bcf492fd-1197-468b-b486-41e00f324d43','682d3673-2e82-4dd1-8dee-b8fe1394f74e','720a4f66-0e7f-472a-a90f-8a2b9063b629','a977416d-b2a5-4971-a914-99bfe854aadb','1af17e73-fd96-4722-b32b-336c903b9211','fad894b3-179a-470a-b340-f744cebcffb3','3b63aad5-6742-43a3-a68e-8e9bb5833de1','3bc9df3c-694a-4562-a8a8-445730340eed','05cbacf9-1988-4b9a-bc63-3f6442a2500d','9752bba4-7ce3-4c1a-9c1e-254cb386b0fb','e83c391b-c935-4a1b-a5d1-f18a7a9ae200','e22d4f28-5254-4e17-8256-a2252457d4dc','296694ca-df57-4bc4-9a0c-f7a72a59a65e','9c649911-7040-4868-8d17-2409d52d512a','e7f7fba6-02c0-4df6-8f19-ffd6625d8d14','c5e8972c-fa66-49d6-b266-e2bf8958a65a','1fad83c2-fc73-427d-99af-c1f732159e5d'
13067a10-cc6e-47d2-9611-49150ce74629,0.0,1.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,,1.0,,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,1.0
15afabfb-530d-486f-9812-20b27e082abb,0.0,1.0,1.0,0.0,1.0,,,1.0,1.0,0.0,0.0,0.0,,,0.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,,0.0,1.0,1.0,1.0,0.0
1d649946-38f5-4237-bd4f-55b418cb31fa,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
204603e7-f571-4278-ae1c-f34c16108e15,,1.0,1.0,,0.0,,1.0,,1.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0,,0.0,1.0,1.0
2230338b-3b12-4e2a-91ef-d5a28ce4bf98,0.0,0.0,1.0,1.0,0.0,,,1.0,1.0,0.0,,,0.0,1.0,,0.0,0.0,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
24f45048-b31b-45de-94a7-f3a972012723,1.0,,,1.0,1.0,0.0,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,1.0,0.0,,1.0,,1.0,,1.0,1.0,,1.0,,1.0
30a8fc7a-0990-4425-bc16-7bbb6347c915,0.0,,1.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,1.0,0.0,0.0,1.0
33f35daf-16dd-47cf-aa67-9c69d3ad97de,1.0,,0.0,,1.0,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,0.0,,1.0
356a6024-ee44-4be2-8267-091d22385b60,0.0,1.0,1.0,1.0,0.0,,,1.0,1.0,0.0,0.0,,,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,,,0.0,1.0,0.0
35fdc8c7-d02d-4a3b-a993-6aebfc5a1699,,0.0,0.0,1.0,1.0,,,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
38d3a68c-e759-4a54-9ed8-b73e9f1df6dd,0.0,,0.0,,1.0,0.0,0.0,,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
3d0c924a-fd50-45eb-b9de-34dfee2e375c,1.0,1.0,1.0,,1.0,,,,1.0,0.0,,0.0,1.0,,1.0,1.0,,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
