USER_UUID,'259ebe96-71cd-4e3f-a14c-0e174ffcbcec','9083f6c2-b037-488e-9096-194b209b5805','3e00cf89-d570-439a-919d-9fce068c9fc5','9280a25f-35a1-44e1-9272-c6becb96c0ba','75eb0a77-6e3b-492c-81bd-791cf41aa09d','0fb977dd-8faf-4be7-9add-d043b747b945','0bc2b687-560f-4fbf-ab1e-35b76e545c43','9319c616-2822-4971-875a-837dd5ae6653','bcf492fd-1197-468b-b486-41e00f324d43','1af17e73-fd96-4722-b32b-336c903b9211','fad894b3-179a-470a-b340-f744cebcffb3','3bc9df3c-694a-4562-a8a8-445730340eed','e83c391b-c935-4a1b-a5d1-f18a7a9ae200','e22d4f28-5254-4e17-8256-a2252457d4dc','296694ca-df57-4bc4-9a0c-f7a72a59a65e','e7f7fba6-02c0-4df6-8f19-ffd6625d8d14','c5e8972c-fa66-49d6-b266-e2bf8958a65a'
1d649946-38f5-4237-bd4f-55b418cb31fa,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
204603e7-f571-4278-ae1c-f34c16108e15,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
2230338b-3b12-4e2a-91ef-d5a28ce4bf98,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
30a8fc7a-0990-4425-bc16-7bbb6347c915,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0
356a6024-ee44-4be2-8267-091d22385b60,1.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0
35fdc8c7-d02d-4a3b-a993-6aebfc5a1699,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,1.0,0.0,1.0,1.0,0.0
38d3a68c-e759-4a54-9ed8-b73e9f1df6dd,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3e1bc697-8d79-4656-a5fb-a5eba562c355,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
438a2884-1986-47fd-bdbe-d3a821967a0e,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,,1.0,1.0,,1.0
48359567-6d13-4492-b78a-6b7a5bef7317,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,
51f980ca-d8ba-4d2d-9f4e-59f4735bc564,0.0,0.0,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
5e31fbeb-0cc5-41eb-a369-8f85b8819a00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,,1.0,0.0
61a2aba1-1ca1-4b2f-985e-75476d2e7b8e,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0
6f6f8bc7-2e3b-4d4c-9ad8-622ef5e51af0,0.0,0.0,1.0,0.0,0.0,1.0,,1.0,0.0,,1.0,1.0,0.0,1.0,1.0,0.0,1.0
82f03c5f-d352-40f6-932a-439b36b9cba2,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0
83c78a7e-97f0-461d-a0aa-d84ff7bbbf95,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,1.0,0.0,1.0
887686ce-cf6c-47c6-aa04-7dfc98d6e5e3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0
924c9188-8e7a-427a-9530-5a188d2471fb,1.0,,1.0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
97a5c2d3-1cb8-4a39-9aa3-f1f489d087f1,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
97daa540-294c-46c0-89c7-079fcf745d15,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,0.0,1.0,1.0,,0.0,1.0,1.0,0.0,1.0
9ef0ba7f-84a4-48c3-96e5-64be5cdffe04,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,
ad1cdc9d-3883-4d33-9813-d95feae85e61,0.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
aeaaf60c-aa54-4b64-8fe9-42aaf1f61576,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
b14da58a-a116-4295-ba2e-99237bb6dae1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,
c546c1ba-e2e7-4a6a-8d3d-ac56804767ba,1.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0
ca03a483-294b-471f-b8ff-f174058367aa,1.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
cbb6f50e-639f-44f8-8dff-33b3422d3a60,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,,1.0
dd471996-252d-4fe0-92ac-efcb2dcb79ad,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
f093f10e-7a78-4267-9ab2-7d4319309723,1.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
f30a9716-c70a-4bd2-939c-ffa05172f4f4,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
f9a70a46-45ab-45be-bdd2-2bfa0f0042f2,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
fc258099-deb7-4faf-a481-2bd8d68781a6,1.0,0.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
